bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
J-c-o 1D3 True O94 None None 16.058609637618257 0.05435247489731497 0.8305794032163625 0.03652401790128484 15.71036726424742 0.030251567265183806 15.714820980084678 0.04580334021584119 59252.11710180388 0.39829858334785534 7.338 2.895 0.0 0.0
J-c-o 2D True F19 None None 16.127627893679776 0.055691814090645005 0.8353070474854073 0.03667630560384025 15.710532867968192 0.030351742868095347 15.715132866418319 0.0458806354923407 59252.11586740827 0.40061513994943276 5.008 2.922 0.0 0.0
J-c-o 2D True O94 None None 16.12786975438567 0.05568593239059345 0.8353266758296547 0.03667331572437988 15.710713713891082 0.030347482296343174 15.71544876003283 0.045878164383603995 59252.11550823532 0.40059915496592446 5.005 2.92 0.0 0.0
J-c-o dehvils True F19 None None 16.100186883006813 0.05185919929171957 0.8328936967442058 0.03611738823537646 15.710392586263023 0.029715933706872883 15.714652544659458 0.04534618169700765 59252.1141556976 0.39313870265648343 6.554 2.684 0.0 0.0
J-c-o dehvils True O94 None None 16.100429973959343 0.05185451255448741 0.8329143823910622 0.03611421757096123 15.710573193817568 0.029711463186058835 15.71496901882628 0.04534340543534123 59252.113809165865 0.39312113962185397 6.55 2.682 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15.694076312965695 0.02461775418377713 16.057394213856067 0.052345614656632594 0.8180977458573262 0.03229063670733685 15.693382794104924 0.024736814982444625 15.707820084640623 0.043905751192284764 59252.109504780485 0.3655472140630354 3.847 2.312 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 15.695655671271801 0.021164686922402733 16.12523432362398 0.04997375966683104 0.8199168714419675 0.031437274025935186 15.69317280887156 0.023719123777428363 15.707051099350185 0.042050046982836625 59252.105868577695 0.35614830535095165 3.226 2.331 0.0 0.0
J-c-o-ztfg-ztfr 2D True F99 15.697037287783385 0.024706619581121463 16.127973496834755 0.05347374465088172 0.8197928244053683 0.03232948320450421 15.69791123175393 0.02476424206883098 15.709596087385409 0.04395322265667983 59252.10657890463 0.3661613442556833 3.23 2.334 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 15.695620202317643 0.024687715384324828 16.12544709347339 0.053453393736570966 0.8199685695102288 0.03232550434615287 15.693418493440173 0.0247584590691635 15.70729377879626 0.04394484077882329 59252.1048915711 0.3661427701010825 3.223 2.329 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 15.695032884003528 0.024371040197553845 16.09917231288598 0.05063202340664621 0.8191159358240159 0.03223345057224442 15.693400243924598 0.024663536837522215 15.707749828259818 0.04376321239919858 59252.10833198567 0.36445146526262695 3.591 2.247 0.0 0.0
J-ztfg-ztfr 1D3 True O94 15.689617237748948 0.019474051997720763 16.02485796875685 0.04800204866740061 0.859591775786735 0.03208780665371231 15.656458225818684 0.024086345082862393 None None 59251.15803258495 0.38783678879330374 1.549 0.914 0.016 0.624
J-ztfg-ztfr 2D True O94 15.690762430442762 0.019333481370967177 16.094177112798956 0.048320013731215826 0.8600221800259025 0.031998667128932734 15.65659316518818 0.02401679486751838 None None 59251.170454577026 0.38655517832689246 1.176 0.886 0.205 0.678
J-ztfg-ztfr dehvils True O94 15.691669542458062 0.019043584365427402 16.07277195278853 0.04700168896186726 0.8597077836721297 0.0318931656663723 15.657269597194597 0.02389688376776612 None None 59251.20491669043 0.3820805132164283 1.172 0.835 0.211 0.76
o-ztfg-ztfr  True F19 15.70757393638579 0.019587219583399682 None None 0.8287207201059917 0.03117179773556133 15.694830699140393 0.023230811768351678 None None 59252.16748006881 0.35421800523619806 2.112 1.761 0.0 0.001
ztfg-ztfr  True F19 15.694980216269817 0.017017705568193608 None None 0.8586529440543225 0.031034091650465105 15.658324046911728 0.02306176728571369 None None 59251.30695172469 0.3676832576672672 1.03 0.86 0.419 0.711
ztfg-ztfr  True O94 15.694933990844751 0.019384735455044808 None None 0.8586564910346537 0.03195641707388908 15.658688482719993 0.02399761427902545 None None 59251.306685407784 0.39144302606422193 1.03 0.86 0.418 0.71
