TNS_name classification RA Dec MW_EBV gal_PGC gal_RA gal_Dec z_hel z_cmb z_flag
20cvo SN Ia 108.919708 30.769419 0.05382564052939415 None 108.91926794 30.76938603 0.02538 0.025849002700532284 spu
20cvr ? 121.064472375 25.039308175 0.030697108581662177 None 121.0629592473 25.034531005 None None n
20cvw SN Ia 119.482958 30.026939 0.04391240291297436 1887325 119.48299166666666 30.027552777777778 0.05103530656531726 0.0516678402435552 spu
20cxx SN Ia 48.08175 41.28225 0.11666432589292526 9005034 48.08317 41.28217 0.029846941653720437 0.02929079120317591 spu
20dcx SN II 192.734375 40.18675 0.014200907088816165 20ddk SN Ia 93.2479958 48.1585003 0.13871200561523436 9005035 93.2457181 48.1583242 0.08056933 0.08067649538021508 sp
20dfh SN IIn 265.506667 3.200861 0.2217288738489151 None 265.5051266666667 3.2003700000000004 None None n
20dgy SN II 154.615125 34.626039 0.014791132286190986 30101 154.61631666666668 34.626675 0.03559533466286423 0.03649522406156326 spu
20dhj SN Ia 223.37659252 17.2891396457 0.02308334145694971 53222 223.37511 17.29128 0.044171558178424886 0.04479141983805123 spu
20dih ? 192.64621191429 40.977536314286 0.01634973406791687 None 192.6460320659 40.975998532199995 None None n
20dju SN Ia-pec 204.8339175 -21.43746 0.07945468306541442 3094533 204.83424 -21.43723 0.062808 0.06377566132205839 pu
20dko SN Ia 204.987747244 0.828189947664 0.02373046524822712 48338 204.99038 0.83094 0.022650336320335317 0.023627417608059562 spu
20dmo ? 63.784256 -29.381999 0.028803740590810777 None 63.78666666666667 -29.38361111111111 0.061966 0.0617787065502434 sp
20dxr SN Ia 176.106189182 53.5715556249 0.010408124029636383 2444784 176.10673333333332 53.57150555555556 0.05524488544671795 0.055847564652987146 spu
20dyu SN II 184.913045505 33.0403874356 0.010539259109646083 None 184.91492704740003 33.0462318266 None None n
20eaf SN II 44.58325 40.923189 0.08908589780330659 20eci SN Ia 230.812067754 0.0649405664894 0.05694462537765503 1156245 230.81019166666667 0.06619444444444444 0.07091639376731752 0.07147467157939451 spu
20ees SN Ia 201.813292 32.033619 0.012118719704449176 47131 201.8202 32.03071 0.024378865461652143 0.02516396808774418 spu
20ehl ? 99.1275 -37.97719 0.07486814379692078 None 99.1275 -37.97777777777778 0.030774999 0.03121776061933714 pu
20ehm ? 92.040125 -31.795011 0.036143870651721956 None 92.04208333333003 -31.796694444440003 0.073956 0.07429023317505153 sp
20fxa SN Ia 233.637667 37.533831 0.013708586879074574 2103053 233.63792 37.53209 0.06422776653040418 0.06453692834212756 spu
20gjh SN II 233.533361698 22.1326957333 0.03932381965219974 20izc SN II 1.260458 -7.100839 0.02974060669541359 312 1.2723541666666667 -7.093422222222222 0.012565693030209588 0.011398128524842156 spu
20jdo SN Ia 273.931854801 58.2152610216 0.03032449647784233 2575993 273.9275 58.21883 0.07157321331532614 0.071267902447673 spu
20jee SN Ia 175.56125 20.097519 0.017545676194131374 36328 175.5608925 20.097811944444445 0.01981771002391261 0.020910098781393133 spu
20jfc SN Ia 287.5295 40.00935 0.11265275716781616 62844 287.52894125 40.0074125 0.027555729904319343 0.0269943697172363 spu
20jge SN Ia 273.685434664 43.4561430773 0.027609049528837203 9005036 273.68598 43.45675 0.061991302207248924 0.061645866774485907 spu
20jgl SN Ia 142.243442219 -14.8055223401 0.06041219100356102 26905 142.2456 -14.80756 0.00676534697880892 0.007874447836181608 spu
20jhf SN Ia 198.722667 27.008639 0.01092875337228179 46076 198.72255 27.00817222222222 0.01544068196672246 0.016312814095718112 spu
20jht SN Ia 179.80122268571 11.505493042857 0.021068429611623286 1394626 179.8006 11.505463888888888 0.030441059327783362 0.031589284337888615 spu
20jio ? 254.545234204 46.8966304166 0.029461906105279923 None 254.54454111080003 46.895986211099995 0.043981999 0.04392206640054005 pu
20jjf SN Ia 233.784425502 23.9455693262 0.04503592267632484 1696614 233.78447083333333 23.944144444444444 0.06426779422182796 0.06466541458773624 spu
20jjh SN Ia 248.07225 50.190539 0.020396713837981223 58466 248.06916666666666 50.18934722222222 0.047369437159089575 0.047389090316351315 spu
20jkv ? 280.277021545 49.7760032611 0.05073009110987187 None 280.276934 49.774963 0.0942467214263242 0.09383074239110933 spu
20jnv ? 171.17600333333 34.882796 0.01683437969535589 None 171.17625365680001 34.8832757129 None None n
20jol SN Ia 156.838125 0.422169 0.05490700855851173 3114884 156.83781666666667 0.4222666666666667 0.021702680725877367 0.022907555857963578 spu
20jqx SN Ib 214.55743925 -5.9418983 0.038533233553171155 126210 214.55727708316002 -5.94157734265 0.059908 0.06076124148323077 spu
20jsa SN Ia 216.0998912 26.6897745 0.018418545797467233 51460 216.09908375 26.690224166666667 0.03655528919276548 0.037219562828188966 spu
20jsh SN Ia 146.589292 3.073269 0.042328087836503984 28033 146.58783 3.07137 0.019971816635894157 0.021107236290422042 spu
20jwl SN Ia 274.6636645 19.18990895 0.15995753049850464 1583731 274.66291666666666 19.19472222222222 0.057109653256696896 0.05672519412211039 spu
20kav ? 243.12047841667 45.9600633 0.014394815638661384 None 243.1228003695 45.9563085546 None None n
20kaz ? 175.27875 42.417769 0.020244603008031846 None 175.2793491066 42.4179728046 None None n
20kba SN Ic-BL 239.677435451 8.99573758287 0.040806934684514996 None 239.6773364318 8.995751478899999 None None n
20kbw SN Ia 231.493812695 46.3123614003 0.015346987657248973 9005037 231.49377 46.3127 0.0763146331603018 0.07658408457170444 sp
20kcr SLSN-II 233.928425 33.150483 0.030813686624169348 None 233.928410368 33.1504801074 None None n
20kef SN II 188.75580623333 25.779510966667 0.01297149458900094 41891 188.75533375 25.779717777777776 0.02948194920569135 0.030450919548245185 spu
20khk ? 190.937856754 -18.0624463663 0.04655436545610428 None 190.937856754 -18.0624463663 None None n
20khm ? 268.900744657 17.9162179967 0.07681074380874633 None 268.90009 17.915979 0.093571 0.09330122615156412 pu
20khs ? 337.31775 -23.861869 0.022119973935186863 197952 337.3202141666667 -23.861536111111114 0.06410444794170785 0.06305975218060696 spu
20kkc SN Ia 218.846068622 -13.6540849921 0.06648437947034835 9005038 218.8461403 -13.6538398 0.07001 0.0707963315963537 spu
20kku SN Ia 263.14051208 15.7358797031 0.09215612158179283 3885592 263.13988 15.73619 0.08367103707434971 0.08352169957506972 spu
20kln ? 291.986818571 -36.8116571429 0.19928283989429474 None 291.985006334369 -36.8109159541433 None None n
20kpx SN Ia 234.542292 4.780669 0.04472147464752197 55656 234.54444166666667 4.7804038888888885 0.022909182058209084 0.023381122915710054 spu
20kqv SN Ia 312.262504 -31.731072 0.054343718886375424 9005039 312.2628 -31.73052 0.07452292932073154 0.07375107526964562 spu
20kqw ? 334.121384286 -25.95925 0.01983069136738777 None 334.122 -25.958916666670003 0.08872699699999999 0.08771879716415248 pu
20kru SN Ia 288.899596288 53.3393045972 0.06807693138718605 2438264 288.9002 53.33908 0.027117757018971813 0.026620377428813884 spu
20krw SN Ia 225.691288175 58.5348085875 0.008269891049712897 9005040 225.69052 58.53503 0.07571644883497536 0.07593126669477326 sp
20ktk ? 216.55068668571 3.9410189285714 0.024581301063299178 None 216.5502621776 3.9412018838 0.085934997 0.08673369138781309 pu
20ktp ? 175.7871597 20.42928245 0.017314001843333243 None 175.787740265 20.4293542622 None None n
20kui SN Ia 200.363804707 48.441108682 0.005515546975657344 9005041 200.36412 48.44089 0.096727204641164 0.09730349983027642 sp
20kyg SN Iax[02cx-like] 197.915012221 22.915514971 0.011897802744060755 45795 197.90433 22.91549 0.0087006858591486 0.009622393886185963 spu
20kyx SN Ia 243.439625 22.920661 0.07753841787576675 57542 243.44182 22.919 0.03191607975674959 0.032139820026610894 spu
20kzn SN Ia 234.54817776667 3.0278325833333 0.04964552894234657 3122970 234.54814 3.02786 0.07775379059068925 0.07823119616199987 spu
20lfe SN Ia 357.075948146 33.1489662271 0.04964105010032654 9005042 357.07739 33.14837 0.03648547592993159 0.035389051197102665 sp
20lgi ? 269.808089513 58.2548616271 0.0356501792371273 None 269.8175 58.270555555559994 0.16502 0.16475983740391928 sp
20lgv ? 282.1813178 25.2021722 0.1477484378218651 None 282.181794 25.201336 None None n
20lil SN Ia 219.498583 9.388539 0.03267979070544243 1364397 219.4989238051 9.3878800655 0.030714581885845842 0.03144243030495621 spu
20lip SN Ia 339.473395075 9.9577903 0.0877625249326229 9005043 339.47326 9.95781 0.093024999 0.0918021543806614 pu
20lkn ? 358.4241316 16.2302326 0.033046514317393305 None 358.424831691475 16.2299353912101 0.052271999000000006 0.05107096053945855 pu
20lkq SN Ia 200.099125 45.261161 0.03358351401984692 9005044 200.10083 45.26139 None None n
20lon ? 202.147625 42.272231 0.011015513315796852 None 202.14821165 42.27251667 0.03497474890893221 0.035625986754185233 spu
20lop ? 342.59438 -18.5934266667 0.02549789223819971 None 342.5943608333333 -18.59340444444444 0.06934534703745691 0.06823304042185825 spu
20lqf ? 314.1753052 -11.2643424 0.06582349076867103 None 314.175176 -11.264907 None None n
20lrq ? 7.96006367606 -0.992506252216 0.017185912728309632 1129577 7.9582652768 -0.9910849607 0.019598 0.018447055713798323 spu
20lsc SN Ia 243.515625 14.282639 0.046290863454341885 57562 243.51371 14.28211 0.03029462468999137 0.030552765448634018 spu
20ltp ? 193.326083 33.300839 0.012329097129404545 3088771 193.32593166666666 33.30021416666666 0.05510480429069711 0.05595037839336652 spu
20lwj ? 230.710125 16.60605 0.025958729200065134 None 230.710125 16.60605 0.061634999 0.06212960597448297 pu
20may SN Ia 185.995625 48.35525 0.013047816716134548 2315646 185.99434 48.35418 0.05336358394980037 0.0540285869352709 spu
20mbf SN Ia 305.886333 19.7111 0.1539580351114273 5061218 305.88429 19.71006 0.04734942331337769 0.046439346525977504 spu
20mbt SN Ic 169.78088435 47.29394865 0.015008573979139328 None 169.7810919968 47.293922188500005 None None n
20mby SN Ia 269.96866088333 50.490919833333 0.03650366775691509 2374563 269.9687672234 50.491082561599995 0.05321530138161165 0.05293673063177494 spu
20mdd SN Ia 237.974188375 34.07338725 0.03075599029660225 4119139 237.9740704022 34.0734602331 0.048780413281777756 0.04904324874112258 spu
20mga SN Ia 278.87542032857 36.592319414286 0.05411936670541763 9005045 278.87437 36.58997 None None n
20mhx ? 185.223527857 49.6460242857 0.015579837784171104 None 185.2227835014 49.6470418575 0.09295100000000002 0.09359719413506618 pu
20mnv SN Ia 250.182625 40.414481 0.011043434794992209 2165441 250.1812125 40.41466666666666 0.025886241607852592 0.025914854844199656 spu
20mnw SN Ia 224.087811528 9.33607126839 0.033624714240431786 3837040 224.08606748 9.33576222 0.08077921693413649 0.0814288616413208 spu
20mob SN IIb 306.717894874 -18.6172577653 0.05948963284492493 64700 306.7169641666667 -18.617271666666667 0.023466722343281607 0.022637061477698363 spu
20mrj SN II 216.1020725 -28.63174 0.06651628881692886 51454 216.1044 -28.634138888888888 0.02345531990290891 0.02424431032892661 spu
20mue SN Ia 215.158911429 -35.9003557143 0.06379283890128136 9005046 215.160992 -35.8998409 None None n
20mvk SN II 203.940333 -30.8751 0.04479143172502518 47958 203.9462 -30.876616666666667 0.015042976388699331 0.015971082879979365 spu
20mvp SN Ia 218.943917 24.726231 0.027278332859277724 52171 218.9406012979 24.725796694 0.036059946511396226 0.03669877747564922 spu
20naj SN Ia 209.91275 29.710119 0.012066122945398092 4395882 209.91267 29.71018 0.05733162788847198 0.058050299987383404 spu
20nbo SN Ia 239.558958 18.102789 0.034756948202848435 20ndv SN Ia 347.408741833 12.8300018913 0.0757624064385891 1417025 347.40554166667 12.8305 0.037415884558376716 0.036185059462799915 spu
20ned ? 3.610292 -24.1693 0.018356090299785136 None 3.6086375 -24.169641666666667 0.026028 0.02500997024323886 spu
20nef SN Ia 229.99642286 20.7131538 0.061260953992605206 1634244 229.99636583333333 20.713165555555555 0.04095499960842911 0.041439387605545205 spu
20nei SN Ia 196.89961606667 43.560012633333 0.018635061606764793 2223723 196.90055416666667 43.56121388888889 0.06173604273927399 0.06241210117165062 spu
20nhu ? 189.76890885 17.218362216667 0.021215954273939134 None 189.7686759628 17.2185395036 None None n
20nin SN Ia 276.527708 30.222531 0.10224711284041405 None 276.52677 30.22239 0.06060778295541006 0.06019309902062304 spu
20nke SN Ib 256.25775 23.156881 0.054044764190912246 None 256.2567150274 23.1573707847 0.030789999999999998 0.030763000667489448 spu
20nlb SN Ia 186.35075 18.20355 0.026226870231330395 40515 186.35045083333 18.19148694444 0.002397325152189119 0.003457876852379367 spu
20nmn ? 358.290163301 10.7535498283 0.07668508633971215 None 358.2908750000001 10.75430555556 0.05991300000000001 0.058698304303800915 sp
20npb SN Ia 269.992583 44.862669 0.036108517274260524 61249 269.9936666666667 44.857194444444445 0.038463275817298914 0.03817539940000528 spu
20npz ? 248.925265068 7.38419463499 0.07067559525370598 None 248.92392111846 7.38451468492577 None None n
20nqo SN II 347.866678545 25.362918264 0.10144058808684349 20nst ? 327.292888 -27.969415 0.029802176356315612 190310 327.29346 -27.96953 0.07061786560161137 0.06967137913524342 spu
20nsu ? 208.001167 -30.489381 0.0527033606171608 None 207.99416666666667 -30.47472222222222 None None n
20nta SN Ia-91bg-like 241.8472904 13.892707425 0.03377397693693638 57215 241.84565 13.88792 0.033730334870532334 0.034023486867142454 spu
20ntl SN II 327.108 -1.673361 0.0446188585460186 67391 327.1102 -1.6726777777777777 0.0272082078350271 0.026064002532555 spu
20nvb SN Ia 187.244917 3.572781 0.018673263117671014 41101 187.24588 3.57058 0.002952042242503646 0.004099402614301174 spu
20nxk SN Ia 231.329349176 21.3541050658 0.051217407062649725 4462938 231.3293 21.35416 0.08469 0.08514685540614768 spu
20obe SN Ia 24.191333 -11.73425 0.02039077889174223 962365 24.189295833333333 -11.735277777777776 0.04349809227021982 0.04255932812358166 spu
20ocv SN Ia 266.653851576 20.5047249554 0.08081147104501724 1629162 266.65232 20.50392 0.062160237437430134 0.06193210620051469 spu
20ohw ? 219.858540375 13.0189108 0.025466660484671593 None 219.8573579941 13.017939103800002 2.185 2.1857033648934436 sp
20oil SN Ia 268.604958 15.618011 0.09077929735183715 61077 268.60521 15.61869 0.04046172630905721 0.040200900224073806 spu
20ojw ? 174.822487647 17.1214623529 0.024019515551626684 None 174.8104556916 17.1262862618 None None n
20oms SN Ia 324.545762383 6.74103520404 0.026297972649335862 67077 324.5475 6.74219 0.06503832728173568 0.0639002956072138 spu
20onv SN Ia-CSM 349.19175 -23.310311 0.020485090874135494 9005049 349.19295 -23.31092 0.093672 0.09260268077780197 sp
20opx ? 359.360237388 9.15487668395 0.06633294463157653 85906 359.36053717765 9.15447718664 0.037631 0.03641886399739657 sp
20ovk SN II 358.573884883 26.3267119215 0.04637355864048004 85886 358.57416666667 26.331166666669997 0.024967000000000007 0.023819338053295863 spu
20oyd SN Ia-91T-like 301.124287 9.333419 0.1486322498321533 None 301.12542 9.33208 0.053413 0.052557813697272804 pu
20pjc ? 228.882309286 6.36866142857 0.03313216656446457 54449 228.881446024 6.3703777136 0.035059433282693106 0.03563427059859754 spu
20pst SN Ia 18.300167 2.283839 0.03178000159561634 212683 18.298745833333335 2.283822222222222 0.046035180778296964 0.04497100196108557 spu
20qic SN Ia 3.773333 43.343289 0.06489719703793526 9005050 3.77213 43.34255 0.04949142768274777 0.048530422216803266 spu
20qlr SN Ia 262.220417 57.918119 0.03708687834441662 9005051 262.22192 57.91773 0.06486691421876593 0.0646914685079243 spu
20qnb ? 210.2913825 7.70025 0.02694653332233429 49906 210.28935 7.7024083333333335 0.023063454081576666 0.023942033822556386 spu
20qne ? 24.584208 -28.6484 0.014724913984537125 132876 24.561291666669998 -28.635194444440003 0.030391 0.029597665043169456 spu
20qpo SN IIn 259.172318578 57.9034331589 0.024216696731746198 None 259.1615940629 57.9047439654 None None n
20qpv ? 209.091754 28.15121 0.01071481017395854 None 209.0898636281 28.1506270664 0.062318 0.06306255349562784 spu
20qqn SN Ia 356.320996628 21.3588386509 0.1340159621834755 1648378 356.32008 21.35881 0.026351563520654014 0.02516582410346819 spu
20qqq ? 33.4872887 -15.264024566667 0.02615846376866102 None 33.4875 -15.26388888888889 0.065049 0.06425937641923779 pu
20qqr ? 33.701458 -30.949039 0.015100000984966755 None 33.70058333333 -30.94822222222 0.06311 0.062452393235990056 sp
20qus ? 294.1177725 50.8294657 0.06979888275265693 None 294.1152733 50.82995972 None None n
20rgz SN Ia 273.004417 51.724581 0.03559461981058121 2398983 273.00588 51.72478 0.027721096279568154 0.027405646318870946 spu
20rlj SN Ia 345.290059561 23.4872227538 0.10785280972719193 3089722 345.29008625 23.484379444444446 0.03976084014761973 0.03857602626557256 spu
20sgf SN Ic 50.719833 42.556131 0.18095992922782897 12660 50.72430416666667 42.553463888888885 0.022083938509363864 0.021571060703977452 spu
20sjo SN Ia 66.591458 -10.098811 0.056730127930641173 15090 66.585625 -10.098444444439998 0.031268965412065176 0.031058787687606195 spu
20skk ILRT 307.393834738 -12.5041080827 0.0340827863663435 64806 307.39620833333 -12.50341666667 0.013499368421052631 0.01261870378929905 spu
20skp SN Ia 20.6945575895 10.0313499223 0.04974395453929901 9005052 20.69457 10.0324 0.05858278472058127 0.05754057883837929 spu
20skx SN II 46.5925114142 -9.87809278902 0.0593036039173603 175846 46.59166666667 -9.87911111111 0.039778 0.039175457523436555 sp
20sme SN Ia 41.08675 14.9213 0.08821398451924324 1470478 41.08615 14.919097222222222 0.04562489694120324 0.04487623745978207 spu
20smn SN Ia 271.973363344 30.5716406659 0.051547063291072844 61434 271.9721375 30.570947222222223 0.07096272960654135 0.07062912502875797 spu
20soi SN II 276.851919001 52.7450772975 0.024882778711616992 20stm ? 323.132798726 -8.48339708018 0.03164768032729626 None 323.1327186602 -8.4834940512 None None n
20str ? 251.10430715 52.2765678 0.033629680052399635 None 251.10533430240002 52.276839496099996 0.065998 0.06596892751695149 sp
20stv ? 252.069119 34.8525831 0.019609669484198095 None 252.06926 34.85244 0.104236 0.10425272510327717 pu
20suh ? 324.375328175 -19.010157809 0.03352221988141536 None 324.36745833333 -19.03341666667 0.166191 0.16517407890959518 sp
20svn SN II 59.544625 -8.816919 0.05737552970647812 None 59.5434325 -8.821242777777778 0.02891406202209006 0.028555552468147668 spu
20svo SN Ia 40.6334713728 -0.963140241395 0.02881996437907219 4136229 40.6326625 -0.9636388888888888 0.03874680529821734 0.03800637162681605 spu
20swx SN Ia 24.9844004 8.7867959 0.03431748665869236 20swy SN Ia 20.9815 -38.013761 0.017346648052334785 5121 20.980675 -38.01211111111111 0.03200747631883388 0.03128821955474349 spu
20sxw ? 241.561542 2.217419 0.07550429955124854 None 241.56041666666667 2.218888888888889 None None n
20sya SN Ic 19.823811176 21.762674378 0.05086954072117805 4738 19.82162625 21.762765 0.031155077821011675 0.030132187040068193 spu
20syk ? 238.164792 21.881211 0.051734585165977474 None 238.1650546534 21.8808478529 None None n
20syl ? 327.39888734 -22.9288191367 0.03373082242906093 None 327.3992848633 -22.9298340312 0.069610998 0.06860853631275067 pu
20szr SN Ia 347.387917 15.659269 0.15530827462673186 70585 347.39355416666666 15.654775 0.025280489210972746 0.024057479391684743 spu
20tab SN II 327.940885847 11.578699646 0.09082411140203475 67506 327.93400833333334 11.575422222222223 0.028524730753392326 0.027363309149840278 spu
20tap SN Ia 341.055804123 -18.1782786968 0.02578493058681488 164224 341.0544120833333 -18.17736111111111 0.05375051830023023 0.0526376786169462 spu
20taz SN Ibn 336.526125112 10.5582374408 0.08816653057932854 None 336.52708333333334 10.56027777777778 0.049007 0.047795515446266 spu
20tce SN Ia 45.470542 16.992881 0.134030981361866 3650105 45.47217 16.99406 0.06136774025819395 0.06069528496306896 spu
20tcg ? 35.7977230085 -17.9916505245 0.03437545850872993 874359 35.80760875 -17.990715833333333 0.06535907333385482 0.06462240048467618 spu
20tch ? 4.02668263241 -3.07021667277 0.03166599616408348 None 4.0268434709 -3.07128473282 None None n
20tco ? 267.433332 53.573573933333 0.03159669905900955 None 267.4329466852 53.5729406854 0.079787001 0.07954617168991455 pu
20tdn ? 249.112802857 0.3827 0.0908170247077942 None 249.112743824 0.38269645939999997 0.11178 0.11196553936655146 pu
20tdy SN Ia 252.841324 7.8616083 0.07572734460234642 59121 252.84029 7.86219 0.043306314678665095 0.04339221263644993 spu
20tea ? 257.418761111 46.4183377778 0.02344773434102535 None 257.419874465041 46.4159352499888 0.074458003 0.07435687419768743 pu
20tef SN I 75.339917 -27.785039 0.016286024302244188 None 75.33958333333334 -27.785 None None n
20tel SN Ia 255.858042 35.999669 0.021533734202384948 3876800 255.85725 35.99876 0.060725 0.06067232144272532 pu
20tfc SN Ia 334.253350124 30.6558521669 0.06301528885960579 3959667 334.25341666667 30.65588888889 0.038500827876394264 0.03739791271076363 spu
20tfm ? 350.813542 49.862511 0.15397366940975188 None 350.81279166667 49.86222222222 0.059901 0.058996696320840133 sp
20tfn ? 20.2365243292 19.6542299717 0.04707438208162785 None 20.23654166667 19.65033333333 0.0805 0.07947310084050066 sp
20tgi SN Ia 34.3812397207 10.5473210558 0.055461904406547545 9005054 34.38112 10.54734 0.0841134 0.08325537268656857 sp
20tgk SN II 28.107308 52.26709 0.26135110676288603 None 28.10779 52.26811 0.05155100000000001 0.050859970044429374 sp
20tif ? 26.11453355 -1.929097275 0.02275761142373085 None 26.107083333330003 -1.95111111111 0.144198 0.14323891769489494 pu
20til SN Ia 341.789253327 -5.59142745857 0.025422682613134382 1042784 341.79067 -5.59104 0.060527 0.05932550915044816 pu
20tjo SN Ia 355.582327347 -14.7029229275 0.02809701904654503 921090 355.58343 -14.70401 0.08474124858974617 0.08360134273857812 spu
20tkp SN Ia 359.544048488 22.7701245689 0.07278125330805778 73077 359.54466 22.77059 0.03479407077011924 0.033627357605103624 spu
20tli ? 268.801635714 54.1757671429 0.03587677724659443 None 268.8016533164 54.1757817821 None None n
20tlv ? 74.5407878597 3.97637140596 0.05465672522783279 16428 74.55150416666666 3.98555 0.035256471224200066 0.03517573973915507 spu
20tnw SN Ia 316.257473949 8.27390283353 0.07507577240467071 9005055 316.25767 8.2735 0.06803 0.06697297967628923 lu
20tor SN II 66.700208 -19.868489 0.03401148051023483 135164 66.7002875 -19.86698611111111 0.033306537639226155 0.03313358391702117 spu
20tpf SN Ia 81.2790377 -21.246447575 0.04548341602087021 3698393 81.2787875 -21.246444444444446 0.02886663679844808 0.028988952377686335 spu
20tqc ? 354.220804746 6.06357321165 0.05946348384022713 None 354.221375 6.063864 0.058357999 0.05712815922057631 pu
20tqn SN Ia 47.24175 15.173261 0.21919793725013734 9005056 47.24062 15.17296 0.0790932 0.07845068966464272 sp
20tta ? 331.457294017 -7.56748806107 0.03566472105681896 None 331.45703555169996 -7.567801922799999 None None n
20tth ? 57.8799676186 21.5692619109 0.1526343482732773 None 57.89025 21.56655555556 0.162309 0.1618645380569066 sp
20tuf SN Ia-91T-like 20.0571876094 -0.0446157113863 0.029826720282435416 9005057 20.05712 -0.04464 0.09224678242196128 0.09120739380277003 sp
20tug SN Ia 359.866168993 17.8652140746 0.0252612616866827 73166 359.8641375 17.864983333333335 0.05673287584654204 0.05554365026799785 spu
20tul SN Ia 9.18183738753 33.105835644 0.08502255648374557 9005058 9.18169 33.10625 0.06638652098037 0.0653469063325438 spu
20txx SN Ic 331.263190771 -9.02434646773 0.02767954483628273 None 331.2668515015 -9.0241063647 0.06394778307959899 0.06280808758365762 spu
20tyo ? 254.088540325 43.785785075 0.013252743761986494 None 254.08872 43.78577 0.099832 0.09978749918390459 spu
20tzb SN Ia 28.9992978507 -2.34537900387 0.022032037414610385 9005059 28.99872 -2.3455 0.115073 0.11415476286927127 pu
20tzl SN Ia 34.669998175 50.786952075 0.17475493252277374 9005060 34.669824 50.7868128 0.05213414 0.05148776945895763 sp
20uas SN Ib/c 344.911125 20.143239 0.04029393427073955 20ubl SN Ia 85.824667 58.084881 0.3065177744626999 9005061 85.82375 58.08735 None None n
20ubu SN Ia 41.0569567715 -2.90416032306 0.02651137601584196 None 41.057246 -2.90417715 None None n
20ucf SN Ia 90.533875 46.508561 0.19077405244112014 9005063 90.53082 46.51018 0.05632411213490663 0.05640220458899568 spu
20uea SN Ia 37.8382026836 43.464791341 0.07182235181331634 9595 37.840741666666666 43.465697222222225 0.01954352033765973 0.01886827039371217 spu
20uec SN Ia 317.452208 15.148581 0.07377677366137504 1476551 317.45308 15.14639 0.027094097333686527 0.026032393342408623 spu
20uek SN Ia 13.4788046341 -31.0935546341 0.015532419085502625 3169 13.47529 -31.09553 0.03194209775617504 0.031070139379049302 spu
20uen ? 80.4701936 -27.5645992 0.020365283451974393 None 80.46934583333334 -27.564358333333335 0.03255258864664747 0.032671072132942326 spu
20ueq ? 70.839625 -33.761461 0.01907525360584259 None 70.8395437786 -33.76145361317 None None n
20uew SLSN-I 49.849458 -29.984911 0.01210048796609044 20ufe SN Ia 81.0188528457 -23.0242033315 0.02334332253783941 None 81.01814123 -23.02401463 None None n
20ufk ? 34.5882400122 -21.8243333989 0.015611827224493027 None 34.5869193 -21.8264673 None None n
20uhe ? 105.089791102 22.3157240529 0.04577583506703377 None 105.07825 22.33441666667 0.134671 0.13513468625057823 pu
20uhf SN II 44.1028319552 38.1871560106 0.0715087816119194 20uho ? 114.780253517 17.0163738381 0.04198318816721439 None 114.78119539469999 17.0157807345 0.081017002 0.08167957724558816 pu
20uie ? 26.837958 42.50388 0.044756895303726195 None 26.837958 42.50388 0.099954002 0.09914981887531076 pu
20uig ? 91.171158 -21.575452 0.04229845315217972 None 91.1707641 -21.5711433 None None n
20ujb ? 75.3595168128 7.84664502864 0.11374854207038879 None 75.3595168128 7.84664502864 None None n
20ulf SN Ia 240.420417 21.354869 0.06154902875423431 56731 240.41763 21.35293 0.032081527547967864 0.03237024471449152 spu
20ull ? 260.221180025 13.404542425 0.12158285051584243 None 260.22129166667 13.40455555556 0.078438 0.078354078441914 sp
20umi SN II 115.769792 50.288781 0.058855335265398025 21641 115.76896666666667 50.28866111111111 0.018712541048096287 0.01908091585273418 spu
20unl SN Ia 98.950417 55.711081 0.05627981528639793 2511708 98.94912 55.7105 0.04163640153035003 0.041763096460327116 spu
20upr ? 20.4641396351 43.3754493578 0.056589963883161544 None 20.4644831 43.3747785 0.064466 0.06361196616303343 pu
20uqx SN II 326.827 32.095811 0.13743930965662002 67348 326.8245416666667 32.095305555555555 0.01730733793103448 0.016256979696671836 spu
20urj SN Ia 121.653625 10.457411 0.016852144487202167 3726813 121.65362 10.45744 0.04182893753784827 0.042638390565431755 spu
20ust SN Ia 24.74227655 48.88053775 0.1637210264801979 9005065 24.742304564308565 48.88060223786157 0.0746452175272362 0.07388735277882415 spu
20usu ? 312.401730791 -11.4263560235 0.046931872889399526 None 312.402118554167 -11.4270591603573 None None n
20uth ? 268.54573136667 19.2566145 0.07636703088879584 None 268.549135 19.25705 0.15634899999999996 0.15608467050684 pu
20utq ? 317.128406169 20.3859879089 0.1398703661561012 None 317.1280397 20.3854098 0.090392999 0.08935126523955017 pu
20uts SN 352.587331739 -23.5172326094 0.01897204801440239 20uvf SN Ia 18.5113548219 14.3811226831 0.05649276852607727 3338809 18.511108333333333 14.378491666666667 0.05951117022430231 0.058450651554184864 spu
20uvg SN Ia 16.5956133839 -20.6132090124 0.015748010613024235 839274 16.59521 -20.61297 0.054759863773840685 0.05380387775976144 spu
20uwl SN II 22.3608686326 -15.4125948888 0.013354967404156924 None 22.360833333333332 -15.411944444444444 0.103707 0.10277047524760952 pu
20uwo SN Ia 356.294167 -25.822369 0.019138141609728335 774659 356.29329 -25.82356 0.05303669113650618 0.052007372148180776 spu
20uwr SN Ia 359.264639497 17.9040250912 0.023609028719365596 1544875 359.26492 17.90379 0.07944792345893416 0.07825636880985919 spu
