# model=snpy_max_model
# h=72.00163002615162
# N = 324
# RMS = 0.24550529029797882
# WRMS = 0.21491565927148093
# NMAD = 0.16814900394672314
# STD = 0.24544615460812721
# STD(logH0) = 0.049150487235919395
# rchisquare = 9.610228193619061
# sigma_int = 0.21321
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st       Jmax       Vmax       rmax    e_Jmax    e_Vmax    e_rmax        dist          h0  resid_DM
   19ekb  213.048402  40.098643 9005010   213.04767    40.0985     J-c-o-ztfg-ztfr      2D    F19        None   37.60221  0.059569  0.067288  0.067855  0.000167  213.048402  40.098643  0.006574    0.011           0.0               0.007  1.612       2.612             1.656  58617.333592   0.42884    1.544718  0.919663  0.036002  19.159061  18.364809  18.276177  0.056268  0.045775  0.027529  331.468228   61.370338  0.238181
   19ens    172.4275  24.640211 9005011   172.42719   24.64035     J-c-o-ztfg-ztfr      2D    F19        None  37.105093  0.124742  0.048084  0.049135      <NA>    172.4275  24.640211  0.017054     0.15         0.088               0.137  1.243       1.333             1.259  58616.501389  0.387593    1.154354   0.92355  0.038203  18.636195  17.814674   17.77107  0.123375   0.04877  0.031116  263.644435    55.87188  0.472797
   19eok  256.381929  12.568426 9005012  256.382966  12.568769 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.620914  0.076388   0.04634  0.046339  0.000018  256.381929  12.568426  0.079335      0.0           0.0                 0.0   1.76       1.817             1.771  58619.074662  0.410078    1.668437  1.084386  0.046359  18.003512  17.137264  17.292574  0.074332  0.045282  0.031902  210.951542   65.853965  0.118155
   19eow  258.496638   3.492406 1253351   258.49567    3.49369     J-c-o-ztfg-ztfr      2D    F19        None  37.156675  0.152221  0.070889  0.070866  0.000199  258.496638   3.492406  0.184597    0.994         0.989               0.994  0.451       0.493             0.455  58615.647523  1.012183     0.55098   1.18907  0.075299  18.639892  18.513179  18.423286     0.149  0.079815  0.039525  269.982061   78.691011 -0.307602
   19fdc  240.277677  49.009744 2331090  240.276357   49.00945 J-asg-c-o-ztfg-ztfr      2D    F19        None  36.279457  0.056413  0.042603  0.042734   0.00001  240.277677  49.009744  0.021103    0.291         0.172                0.29  1.084       1.154             1.084  58630.545781  0.394628    0.901614  1.076849  0.034482   17.74974  17.068917  17.071515  0.054132  0.027597  0.025668   180.25671   71.072884 -0.041388
   19fkv  307.777958   8.739517    <NA>  307.777958   8.739517               J-c-o      2D    F19        None  36.906408  0.061004  0.055353  0.054401      <NA>  307.777958   8.739517  0.115633    0.662         0.409                0.65  0.855       1.039             0.863  58628.081335   0.64461    0.850358  1.083645  0.051008  18.303102    17.7107  17.841267  0.058627  0.044288  0.039841  240.592233   67.787119  0.040476
   19ftd  194.421398 -24.476643   44350   194.42496  -24.47964     J-c-o-ztfg-ztfr      2D    F19        None  36.706313  0.055911   0.04795  0.049012  0.000108  194.421398 -24.476643  0.123804    0.853         0.708                0.85  0.721       0.836             0.723  58635.013848  0.429467    0.704042  1.020023  0.041118  18.076366  17.399704  17.609369  0.052163  0.028413  0.034081  219.413099   66.966495  0.079694
   19ftg  193.238046 -13.036813  943899    193.2375 -13.038611     J-c-o-ztfg-ztfr     1D3    F19        None  36.956559  0.050391  0.060595  0.061709      <NA>  193.238046 -13.036813  0.046904    0.912         0.019               0.908  0.716       1.508             0.721  58634.042963  0.400395    0.703488  0.930493  0.050208  18.491901  18.254871  18.201721  0.046849  0.064663   0.02905  246.213491   75.137952 -0.190468
   19fyi  215.321765  35.508818 2065635  215.322473  35.509369 J-asg-c-o-ztfg-ztfr      2D    F19        None  35.899874  0.060079  0.029773  0.030363  0.000017  215.321765  35.508818  0.018195    0.009         0.001               0.003   1.57        1.76             1.673  58637.026196   0.54683    2.811782   0.93551  0.057351  17.405797   17.99494  17.992775  0.057405  0.079204  0.044261  151.347308   60.143979  0.342133
   19gci   189.89819  45.377147 2263962  189.897754  45.377867 J-asg-c-o-ztfg-ztfr      2D    F19        None  36.674809   0.10043  0.046921  0.047615  0.000013   189.89819  45.377147  0.020682      0.0           0.0                 0.0  2.852       2.917             2.856  58643.546888      0.34    3.104421   0.88542  0.038611   18.06805  17.467471  17.680651  0.097679  0.076328     0.035  216.252825   66.009563  0.112426
