# model=salt3-nir
# h=73.36495470247463
# N = 362
# RMS = 0.18677882126246526
# WRMS = 0.17409867848816993
# NMAD = 0.1524161935431913
# STD = 0.18671333350539407
# STD(logH0) = 0.03855644957162469
# rchisquare = 2.1435835381064208
# sigma_int = 0.12397
TNS_name          RA        Dec     PGC       galRA     galDec      bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model            t0      e_t0        x0      e_x0        x1      e_x1         c       e_c        dist          h0  resid_DM
   19eiy  265.224311  38.735407   60686    265.2285  38.732194 J-c-o-ztfg-ztfr     1D3    F19        None  36.193966  0.106333  0.041028  0.040813  0.000165  265.224311  38.735407  0.041123      1.0          0.94                 1.0  0.383       0.713             0.383  58618.535102  0.133457  0.002935  0.000104 -0.817322  0.144233 -0.092401  0.026364  173.297851    70.60262  0.016129
   19ekb  213.048402  40.098643 9005010   213.04767    40.0985 J-c-o-ztfg-ztfr      2D    F19        None  37.321398  0.139437  0.067288  0.067855  0.000167  213.048402  40.098643  0.006574      1.0         0.989                 1.0  0.373       0.566             0.373  58617.344279  0.270736  0.000848  0.000038 -0.506926  0.292175 -0.017787  0.034458  291.259115    69.84268 -0.001899
   19ens    172.4275  24.640211 9005011   172.42719   24.64035 J-c-o-ztfg-ztfr      2D    F19        None  36.786033  0.154048  0.048084  0.049135      <NA>    172.4275  24.640211  0.017054    0.818         0.432               0.818  0.793       1.022             0.793  58616.765072  0.163425  0.001542  0.000077 -0.813571  0.230905 -0.061529  0.036867  227.617988   64.715053  0.194468
   19eok  256.381929  12.568426 9005012  256.382966  12.568769 J-c-o-ztfg-ztfr     1D3    F19        None  36.684832  0.107528   0.04634  0.046339  0.000018  256.381929  12.568426  0.079335    0.994         0.657               0.994  0.605       0.919             0.605  58619.633381  0.131968   0.00263  0.000093  1.061156  0.200381 -0.131773  0.025364  217.253278   63.943778  0.222805
   19eow  258.496638   3.492406 1253351   258.49567    3.49369 J-c-o-ztfg-ztfr      2D    F19        None  37.330453  0.349575  0.070889  0.070866  0.000199  258.496638   3.492406  0.184597    0.877         0.847               0.876  0.725       0.752             0.725  58616.514597  0.477686  0.000822  0.000099 -0.284938  0.648097 -0.002656   0.07907  292.476261   72.638926 -0.093092
   19fcw  228.032701   1.060492 1183301  228.032921   1.060464 J-c-o-ztfg-ztfr      2D    F19        None  37.952531  0.263541  0.087817  0.088425   0.00006  228.032701   1.060492  0.047064      1.0           1.0                 1.0  0.311       0.326             0.311  58623.704463  0.330431  0.000562  0.000048 -1.238912  0.552329 -0.097258  0.058397  389.498923   68.059921  0.022064
   19fdc  240.277677  49.009744 2331090  240.276357   49.00945 J-c-o-ztfg-ztfr      2D    F19        None  36.235659  0.091727  0.042603  0.042734   0.00001  240.277677  49.009744  0.021103    0.995           0.0               0.995  0.585       2.786             0.585  58630.584808  0.147521  0.003016  0.000087  0.569065  0.138305 -0.063004  0.023367   176.65737   72.520972 -0.044455
   19fkv  307.777958   8.739517    <NA>  307.777958   8.739517           J-c-o      2D    F19        None   37.04221  0.175655  0.055353  0.054401      <NA>  307.777958   8.739517  0.115633    0.953          0.58               0.953  0.578       0.918             0.579  58628.755788  0.394403   0.00153  0.000097   0.62941  0.437827 -0.080973  0.041494  256.119129   63.677611   0.21701
   19ftd  194.421398 -24.476643   44350   194.42496  -24.47964 J-c-o-ztfg-ztfr      2D    F19        None  36.746701  0.145756   0.04795  0.049012  0.000108  194.421398 -24.476643  0.123804    0.974         0.549               0.974  0.569       0.948             0.569  58634.741798  0.341243  0.001789  0.000082  0.351982  0.457225 -0.054712  0.035382  223.532287   65.732456  0.160815
   19ftg  193.238046 -13.036813  943899    193.2375 -13.038611 J-c-o-ztfg-ztfr     1D3    F19        None  37.103776  0.129885  0.060595  0.061709      <NA>  193.238046 -13.036813  0.046904    0.998         0.546               0.998  0.495       0.961             0.495  58633.519017  0.325048  0.000987  0.000039 -0.550957  0.502158 -0.004016  0.031422   263.48458   70.212752 -0.002519
   19gbh  268.065259  47.267797 2295250  268.064167  47.266667 J-c-o-ztfg-ztfr      2D    F19        None  37.625662  0.120017  0.095719  0.095462  0.000004  268.065259  47.267797  0.033038      1.0         0.995                 1.0  0.517       0.608             0.517  58641.926239  0.259428  0.000627  0.000022  0.718721  0.297999  0.032954  0.029037  335.067523   85.412245 -0.483723
   19gcj  163.775956  57.648935 2569372   163.77499   57.65051 J-c-o-ztfg-ztfr     1D3    F19        None  36.618264  0.105614  0.046162  0.046692  0.000007  163.775956  57.648935  0.005087    0.939         0.716               0.939   0.65       0.847              0.65  58644.889881  0.194647  0.001294   0.00004 -1.562134  0.267615  0.014577  0.026603   210.69426   66.437685   0.14026
   19ged  151.171708   40.04205 9005014  151.171703  40.042055 J-c-o-ztfg-ztfr     1D3    F19        None  37.314297  0.153752   0.06339  0.064196      <NA>  151.171708   40.04205  0.010908    0.685         0.232               0.684  0.809       1.228             0.809  58644.826715  0.441314  0.001291  0.000048  1.213999  0.539115 -0.085059  0.034559  290.308222    66.29277  0.117653
