# model=snpy_ebv_model2
# h=70.70068977377682
# N = 357
# RMS = 0.1648951123950165
# WRMS = 0.15175129721248223
# NMAD = 0.12568898587686875
# STD = 0.1648742524152819
# STD(logH0) = 0.032943281713634406
# rchisquare = 2.6649145015205455
# sigma_int = 0.12141
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw  calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st   EBVhost  e_EBVhost        dist         h0  resid_DM
   19dyo  135.278637  52.651038   25334  135.273945  52.649906 J-asg-c-o-ztfg-ztfr     1D3    F19            6  35.626543  0.076842  0.029829   0.03034   0.00001  135.278637  52.651038  0.020098    0.907         0.833               0.907  0.683       0.756             0.684  58612.889357   0.35206    0.494069  1.117226  0.032709 -0.020773   0.061013  133.446938  68.158738  0.030763
   19ecs  160.885375  48.445639 3467998  160.883233  48.443747 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.329127  0.079059  0.041315  0.042013   0.00001  160.885375  48.445639  0.016336    0.418         0.369               0.418  1.027       1.052             1.027  58610.917418  0.368467    1.014024  1.019033  0.033877 -0.029868   0.061424  184.427373  68.293834  0.007973
   19eiy  265.224311  38.735407   60686    265.2285  38.732194 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.218629  0.078576  0.041028  0.040813  0.000165  265.224311  38.735407  0.041123    0.213         0.128               0.212  1.128        1.19             1.128  58618.200521  0.366188    0.979703  0.926976  0.032582 -0.043708   0.062132  175.277323  69.805278 -0.039533
   19ekb  213.048402  40.098643 9005010   213.04767    40.0985     J-c-o-ztfg-ztfr      2D    F19            6  37.497444  0.099333  0.067288  0.067855  0.000167  213.048402  40.098643  0.006574    0.997         0.989               0.992  0.493       0.554             0.534  58615.846504  0.440673    0.568137  1.189112  0.052443  0.143848   0.064757  315.855755   64.40382  0.093822
   19ens    172.4275  24.640211 9005011   172.42719   24.64035     J-c-o-ztfg-ztfr      2D    F19            6  36.836094  0.091585  0.048084  0.049135      <NA>    172.4275  24.640211  0.017054    0.238         0.201               0.237  1.154       1.186             1.154  58616.467274  0.390621    1.145255  0.917984  0.039312 -0.011911   0.069338   232.92642  63.240186  0.164204
   19eok  256.381929  12.568426 9005012  256.382966  12.568769 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.579539  0.083525   0.04634  0.046339  0.000018  256.381929  12.568426  0.079335      0.0           0.0                 0.0  1.696        1.75             1.697  58618.967017  0.382224    1.629436  1.105859  0.038465 -0.098628   0.064378  206.970158  67.120765  0.037187
   19eow  258.496638   3.492406 1253351   258.49567    3.49369     J-c-o-ztfg-ztfr      2D    F19            6  37.351636  0.101446  0.070889  0.070866  0.000199  258.496638   3.492406  0.184597    0.988         0.986               0.987  0.518       0.528             0.522  58616.563998  0.545167    0.699731  0.939139  0.055025   0.04006    0.08572  295.343418  71.933756 -0.152233
   19fcw  228.032701   1.060492 1183301  228.032921   1.060464     J-c-o-ztfg-ztfr      2D    F19            6  38.034392  0.092082  0.087817  0.088425   0.00006  228.032701   1.060492  0.047064      1.0           1.0                 1.0  0.306       0.308             0.306  58623.875306  0.390809     0.34133   0.80643  0.039581 -0.142942   0.069399  404.462538  65.541956  0.023599
   19fdc  240.277677  49.009744 2331090  240.276357   49.00945 J-asg-c-o-ztfg-ztfr      2D    F19            6  36.220923  0.081426  0.042603  0.042734   0.00001  240.277677  49.009744  0.021103    0.014           0.0               0.014  1.387       1.617             1.389  58631.037087  0.388264    1.159869  1.042854  0.033759 -0.006441   0.061721  175.462595  73.014788 -0.139516
   19fkv  307.777958   8.739517    <NA>  307.777958   8.739517           J-asg-c-o      2D    F19            6  36.922659   0.17143  0.055353  0.054401      <NA>  307.777958   8.739517  0.115633    0.923         0.915               0.922  0.629        0.64              0.63  58628.318169   0.49277    0.696008  0.958486  0.043448  -0.09168   0.064526  242.399537  67.281706  0.017134
